si:dkey-21h14.12
si:ch211-263k4.2
hp.1
hmcn2
nadka
agbl4
baz1a
zgc:113886
ccdc28a
si:zfos-364h11.2
dnal1
exosc3
ebf3a
pcdh11
pcdh2ab9
matr3l1.1
ogt.1
cplx2
tmem107
si:dkeyp-2e4.3
tomm20a
si:dkey-275b16.2
fbxo11a
cdh23
si:dkey-85a20.4
gtf2a1l
sptbn4b
mical3a
golim4a
st7
cpn1
ank3b
si:dkey-263j23.1
baiap2b
calm3a
nkd3
oscp1a
vps50
prf1.7
si:ch73-160i9.3
sox4a
gtf2h4
dhrs13b.1
atg16l2
si:dkey-77f5.11
si:ch73-380l3.2
znf1011
zgc:66024
adamts15b
robo2
usp16
si:ch211-181d7.1
cyp2y3
her4.2
si:dkey-147f3.8
si:rp71-79p20.2
c6
fnbp1b
cel.1
stx10
si:dkey-40c23.2
znf740a
thsd1
slc37a4b
mcf2b
rsf1b.1
mmp13a
palm2akap2
arf2b
si:dkey-25o1.7
si:dkeyp-7a3.1
otulina
top1mt
lrp1ba
zgc:171435
slx4
celsr2
si:ch73-92e7.4
si:dkey-20i20.8
si:ch211-156p11.1
si:rp71-36a1.5
si:dkey-19a16.11
arhgap45b
si:ch73-256j6.4
gna15.3
zgc:174222
zgc:173486
si:dkey-4c15.8
si:dkey-102c8.2
znf1183
si:ch211-255f4.11
acy1
sult3st3
znf1154
znf1174
znf1153
znf1144
pdgfaa
si:ch73-44m9.3
znf1157
si:dkey-182g1.2
si:ch211-213a13.2
si:dkey-21e2.12
si:dkey-21e2.8
si:ch211-246m6.5
kcnj11l
mmp15a
hist1h2a3
ano9a
neo1b
tdg.1
cplx3a
ces2b
appl2
si:dkey-156k2.4
si:ch211-208f21.3
znf1053
si:dkey-4j21.2
si:ch211-207e19.2
si:ch211-223g7.6
si:ch211-237a4.2
si:dkey-51d8.3
znf1078
znf1127
znf1108
si:dkey-3h2.4
si:ch211-11p18.6
zgc:194906
si:dkeyp-67a8.4
si:ch73-55i23.1
znf1124
si:ch73-1f23.1
cyp3c3
sc:d0202
znf1001
si:dkey-30g5.1
crhr2
ctxn1
si:zfos-2330d3.7
mmd2b
afp4
gstk4
rock2b
selp
grem1a
zp3.2
col19a1
zgc:110045
msrb1b
si:dkey-24p1.6
si:dkey-42l23.9
chia.6
arf4a
pimr205
zgc:91850
taar20i
zgc:174193
taar20o
si:ch211-157j23.2
si:dkey-21e2.3
si:ch211-197g15.6
galnt8a.1
igl4v8
zgc:172128
si:ch211-234c11.2
si:ch73-236c18.2
mlxipl
vap
fgfbp1b
zgc:174356
hrc
ftr90
pimr160
cel.2
znf1121
cxcl11.6
ftr10
nlrc8
or132-2
si:ch211-214k5.3
zgc:153659
smyhc2
