si:dkey-16p19.5.1
si:ch73-212j7.3.1
asb2a.1.1
tube1.1
wdr21.1
rimbp2.1
cacna1db.1
zgc:77486.1
zgc:153759.1
slc26a6.1
si:ch211-263k4.2.1
hmcn2.1
si:dkey-56i24.1.1
nadka.1
agbl4.1
cacna1db.2
unm-hu7912
cacna1db.3
meis2a.1
flrt2.1
baz1a.1
ccdc28a.1
si:zfos-364h11.2.1
zgc:113886.1
unm-sa911
ppp2r2ca.1
fgfbp1b.1
hnrnpa0l.1
pcdh11.1
pcdh2ab9.1
matr3l1.1.1
crhr2.1
ogt.1.1
tbc1d9.1
cplx2.1
tmem107.1
si:dkeyp-2e4.3.1
pimr152.3
col19a1.1
si:dkey-85a20.4.1
ewsr1b.1
gtf2a1l.1
tomm20a.1
cdh23.1
neto2b.1
mical3a.1
si:dkey-24l11.2.1
sptbn4b.1
st7.1
msrb1b.1
fbxo11a.1
ebf3a.1
kif5ba.1
si:dkey-275b16.2.1
baiap2b.1
ank3b.1
pou2f2a.1
csmd3a.1
vps50.1
si:dkey-222b8.1.1
scg5.1
rrm2.1
gtf2h4.1
grem1a.1
dhrs13b.1.1
h3f3b.1.1
calm3a.1
si:dkey-77f5.11.1
zgc:66024.1
si:dkey-263j23.1.1
btr04.1
usp16.1
nlrc8.1
ftr90.1
ftr90.2
si:ch211-181d7.1.1
atg16l2.1
robo2.1
raf1a.1
her4.2.1
si:dkey-147f3.8.1
dlg4b.1
c6.1
fnbp1b.1
si:dkey-65l23.2.2
rpl37.1
si:ch211-200p22.4.1
si:dkey-40c23.2.1
arf4a.1
egln1b.1
unm-sa1614
dynlrb1.1
pcdh20.1
mcf2b.1
si:ch211-214k5.3.1
rsf1b.1.1
thsd1.1
mmp13a.1
palm2akap2.1
arf2b.1
ptprh.1
si:ch211-157j23.2.1
si:dkeyp-7a3.1.1
crp2.1
otulina.2
slco5a1a.1
top1mt.1
lrp1ba.1
slx4.1
celsr2.1
si:dkey-20i20.8.1
gna15.3.1
znf1183.1
si:ch73-103b2.1.1
fgfr1bl.1
znf1154.1
znf1183.2
zgc:174222.1
ptprsa.1
znf1144.1
znf1157.1
si:dkey-4c15.8.1
ctxn1.1
si:ch211-213a13.2.1
si:rp71-36a1.5.1
si:ch211-11p18.6.1
si:ch73-92e7.4.1
acy1.1
znf1174.1
znf1154.2
si:ch73-44m9.3.1
znf1153.1
si:ch211-255f4.11.1
zgc:171435.1
si:dkey-19a16.11.1
myhz1.1.1
pdgfaa.1
ccdc136b.1
kcnj11l.1
hist1h4l.9
zgc:163040.1
zgc:112234.9
hist1h4l.10
zgc:171759.1
hist1h4l.11
hist1h2a3.1
hist1h4l.12
hist1h4l.13
hist1h4l.14
zgc:171759.2
hist1h4l.15
si:ch211-113a14.19.2
zgc:173552.3
si:ch211-113a14.22.1
hist1h2a3.2
si:ch211-113a14.22.2
hist1h4l.17
zgc:173552.4
si:ch211-113a14.19.3
hist1h4l.18
hist1h2a10.1
zgc:171759.3
hist1h4l.19
zgc:171759.4
hist1h2a3.3
hist1h4l.21
si:ch211-113a14.19.4
hist1h4l.22
hist1h2a3.4
hist1h4l.23
zgc:173552.5
ano9a.1
ces2b.1
appl2.1
megf8.1
parietopsin.1
NC-002333.17
NC-002333.4
NC-002333.8
rnps1.1
sec14l1.1
golim4a.1
mmd2b.1
taco1.1
exosc3.1
cplx3a.1
ybey.1
wbp11.1
znf1053.1
si:dkey-61p9.9.2
si:dkey-247i3.6.1
si:dkey-16p6.1.7
si:dkey-16p6.1.9
si:ch211-237a4.2.1
si:ch211-64i20.3.1
si:dkey-29j8.1.2
si:ch211-238e22.8.1
si:dkey-4e4.1.1
si:dkey-21h14.12.2
si:dkey-16p6.1.14
znf1089.1
si:ch211-76m11.3.1
si:ch211-234c11.2.1
zgc:174698.1
ms4a17a.5.1
znf1102.1
cacna2d4a.1
znf1108.1
zgc:174698.2
si:dkeyp-44b5.5.1
znf1116.1
nitr1b.1
si:dkey-15b23.3.1
gbgt1l3.1
fthl27.1
si:dkey-222h21.10.1
pimr128.1
si:ch73-222f22.2.1
nr6a1a.1
zp3.2.1
pcdh2ab2.1
si:ch211-67f24.7.1
zgc:110045.1
oscp1a.1
zgc:112966.1
znf1011.1
adamts15b.1
clca1.1
si:ch73-380l3.2.1
zgc:193807.1
taar19n.1
pimr64.1
zgc:153659.1
unm-sa821
si:ch73-256j6.4.1
si:ch211-197g15.6.1
si:ch211-197g15.6.2
si:dkey-21e2.3.1
si:dkey-21e2.12.1
si:ch211-246m6.5.1
si:dkey-102c8.2.1
hist1h4l.16
hist1h4l.20
NC-002333.10
NC-002333.14
si:dkey-21h14.12.1
si:ch211-237a4.2.2
znf1047.1
znf1023.1
znf985.1
nitr6b.2
nitr1b.2
iqcb1.1
si:ch211-170p16.1.1
chst12b.1
si:ch211-173a9.6.1
prf1.7.1
slc37a4b.1
si:ch211-156p11.1.1
si:dkey-182g1.2.1
NC-002333.20
si:dkey-16p6.1.12
zgc:172079.2
si:ch73-55i23.1.1
si:dkey-30g5.1.2
trpm2.1
tas1r2.2.1
si:dkey-238d18.7.1
si:dkey-84o3.3.1
zgc:175135.1
