gene,ID
creb3l1,ENSDARG00000015793
ebf3a,ENSDARG00000099849
edem1,ENSDARG00000025094
enc1,ENSDARG00000035398
etv5b,ENSDARG00000044511
gadd45ga,ENSDARG00000019417
grp,ENSDARG00000043074
hspa4a,ENSDARG00000004754
il1rapl2,ENSDARG00000037553
npas4a,ENSDARG00000055752
nptx1l,ENSDARG00000074671
pappa2,ENSDARG00000076020
pou4f2,ENSDARG00000069737
ppp3ca,ENSDARG00000004988
rhbdl3,ENSDARG00000105190
rspo2,ENSDARG00000079570
rspo3,ENSDARG00000070081
sat1b,ENSDARG00000032272
scrt1b,ENSDARG00000040214
sema3aa,ENSDARG00000019235
synpr,ENSDARG00000037587
syt9b,ENSDARG00000029239
shank3b,ENSDARG00000063054
tubb5,ENSDARG00000037997
vaspb,ENSDARG00000017105
gpm6ab,ENSDARG00000004621
cacng3b,ENSDARG00000076401
dgkaa,ENSDARG00000060626
dgkzb,ENSDARG00000076025
doc2b,ENSDARG00000088293
draxin,ENSDARG00000058256
foxo1a,ENSDARG00000099555
gdpd5b,ENSDARG00000076962
kaznb,ENSDARG00000006601
pim3,ENSDARG00000055129
ptprk,ENSDARG00000063416
ttc19,ENSDARG00000074435
vav3b,ENSDARG00000075962
gpm6aa,ENSDARG00000055455
csmd1a,ENSDARG00000044414
tle3a,ENSDARG00000002787
slc35g2b,ENSDARG00000045447
slc32a1,ENSDARG00000059775
rorab,ENSDARG00000001910
uts1,ENSDARG00000014927
clcn3,ENSDARG00000003269
prkd1,ENSDARG00000075949
sybu,ENSDARG00000060112
slc35g2a,ENSDARG00000056262
astn1,ENSDARG00000068323
dgkza,ENSDARG00000014439
